,PRICE,description_produit,nom_produit,type_produit,type_produit_traite
0,"1,50 € ","                        Revitalisant et lissant, ce macérât huileux est un ingrédient de choix pour redonner de l'élasticité à votre peau. L'épiderme est plus souple, et le teint plus lumineux.                    ",                            Aloe vera BIO                        ,                        Macérât huileux                    ,macérât huileux
1,"4,95 € ","                        Connu sous le nom huile d'Amla, ce macérât associe l'Amla et l'huile de Ricin pour créer un ingrédient capillaire d'exception. Utilisé pour préparer des bains d'huiles capillaires, il est réputé pour fortifier les cheveux et stimuler leur pousse.                    ",                            Amla BIO                        ,                        Macérât huileux                    ,macérât huileux
2,"1,50 € ","                        L'Arnica est réputé comme la plante de choix en cas de contusions. Allié des sportifs, ce macérât aux propriétés calmantes s'emploie traditionnellement pour préparer des soins avant ou après l'effort ou des huiles de massage apaisantes.                    ",                            Arnica BIO                        ,                        Macérât huileux                    ,macérât huileux
3,"1,50 € ","                        Issue de la macérâtion de fleurs de pâquerettes, cette huile est réputée pour ses vertus raffermissantes. Elle est idéale pour préparer des soins du buste et du décolleté et aider à maintenir la tonicité cutanée.                    ",                            Bellis BIO                        ,                        Macérât huileux                    ,macérât huileux
4,"4,75 € ","                        Ce macérât associe les propriétés nourrissantes de l’huile de Ricin aux vertus des plantes ayurvédiques de Brahmi et de Bhringaraj. Idéal pour composer vos soins capillaires, il est traditionnellement utilisé pour apporter force et brillance aux cheveux et stimuler leur pousse.                    ",                            Brahmi & Bhringaraj BIO                        ,                        Macérât huileux                    ,macérât huileux
5,"1,50 € ","                        Recommandé pour les peaux sensibles et rugueuses, ce macérât de fleurs de Calendula, apaisant et revitalisant est l'ingrédient parfait pour prendre soin des peaux sujettes à inconfort ou tiraillements.                    ",                            Calendula BIO                        ,                        Macérât huileux                    ,macérât huileux
6,"1,50 € ","                        Riche en provitamine A, ce macérât favorise le bronzage et le hâle de la peau. Il est conseillé comme ingrédient pour préparer des soins après-soleil ou bonne mine pour assouplir la peau et conserver un joli teint uniforme.                    ",                            Carotte BIO                        ,                        Macérât huileux                    ,macérât huileux
7,"1,50 € ","                        Connue pour ses propriétés anti-âge et protectrices et alternative moins onéreuse à l'huile de Figue de Barbarie, ce macérât revitalisant s'utilise dans vos préparations pour prévenir les signes de l'âge et la déshydratation cutanée.                    ",                            Figuier de Barbarie BIO                        ,                        Macérât huileux                    ,macérât huileux
8,"1,25 € ","                        Traditionnellement connu pour ses propriétés éclaircissantes et protectrices, ce macérât de fleurs de Lys est employé pour préparer des soins pour peaux fragiles. Il préviendrait l'apparition des taches brunes.                    ",                            Lys BIO                        ,                        Macérât huileux                    ,macérât huileux
9,"1,50 € ","                        Le Millepertuis est une plante réputée en cas de douleurs et irritations cutanées. Apaisant et restructurant, ce macérât huileux est utilisé pour préparer des soins pour calmer les peaux tiraillées ou des huiles de massage apaisantes.                    ",                            Millepertuis BIO                        ,                        Macérât huileux                    ,macérât huileux
10,"1,50 € ",                        Ce macérât de fleurs de Tiaré protège la peau et raffermit et lisse les tissus cutanés. Son toucher pénétrant le rend agréable dans vos préparations cosmétiques tant pour la peau que pour les cheveux auxquels il apporte force et brillance.                    ,                            Monoï BIO                        ,                        Macérât huileux                    ,macérât huileux
11,"3,95 € ","                        Réputé pour ses vertus raffermissantes, ce macérât préparé à partir de fleurs de pâquerettes fraîches récoltées en France fait merveille dans les soins du buste et pour aider à préserver la tonicité des peaux matures.                    ",                            Pâquerettes de France BIO                        ,                        Macérât huileux                    ,macérât huileux
12,"1,75 € ","                        Issue de la macération de gousses de Vanille, cette huile possède une senteur puissante et suave qui lui vaut sa réputation d'aphrodisiaque. Protectrice et nourrissante, elle s'emploie à merveille pour préparer des huiles de massage.                    ",                            Vanille BIO                        ,                        Macérât huileux                    ,macérât huileux
13,"1,50 € ","                        Revitalisant et lissant, ce macérât huileux est un ingrédient de choix pour redonner de l'élasticité à votre peau. L'épiderme est plus souple, et le teint plus lumineux.                    ",                            Aloe vera BIO                        ,                        Macérât huileux                    ,macérât huileux
14,"4,95 € ","                        Connu sous le nom huile d'Amla, ce macérât associe l'Amla et l'huile de Ricin pour créer un ingrédient capillaire d'exception. Utilisé pour préparer des bains d'huiles capillaires, il est réputé pour fortifier les cheveux et stimuler leur pousse.                    ",                            Amla BIO                        ,                        Macérât huileux                    ,macérât huileux
15,"1,50 € ","                        L'Arnica est réputé comme la plante de choix en cas de contusions. Allié des sportifs, ce macérât aux propriétés calmantes s'emploie traditionnellement pour préparer des soins avant ou après l'effort ou des huiles de massage apaisantes.                    ",                            Arnica BIO                        ,                        Macérât huileux                    ,macérât huileux
16,"1,50 € ","                        Issue de la macérâtion de fleurs de pâquerettes, cette huile est réputée pour ses vertus raffermissantes. Elle est idéale pour préparer des soins du buste et du décolleté et aider à maintenir la tonicité cutanée.                    ",                            Bellis BIO                        ,                        Macérât huileux                    ,macérât huileux
